well,analyte,scope,min_detected,min_detected_date,max_detected,max_detected_date,max_reporting_limit_nondetect,max_reporting_limit_date,n_samples_analyzed,n_nondetect,n_detect,unit,regulatory_limit,limit_type,exceedance_ratio_at_max,source_document,source_table,source_pages
MW-3,barium,per_well_all_dates,33.0,4/12/2017,240.0,7/16/2012,,,17,0,17,ug/L,1000.0,MCL,0.24,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-3,lead,per_well_all_dates,,,,,6.3,4/12/2018,17,17,0,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-3,manganese,per_well_all_dates,1.3,4/12/2017,74.0,9/19/2012,50.0,3/12/2012,17,12,5,ug/L,50.0,Secondary MCL,1.48,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-3,strontium,per_well_all_dates,190.0,4/12/2017,840.0,7/16/2012,,,15,0,15,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.21,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-3,nitrate_as_n,per_well_all_dates,2.1,4/12/2018,5.4,6/13/2006,,,17,0,17,mg/L,10.0,MCL (health-based),0.54,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-4,arsenic,per_well_all_dates,1.3,6/4/2014,9.9,10/4/2006,5.0,3/12/2012,18,3,15,ug/L,10.0,MCL,0.99,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-4,barium,per_well_all_dates,100.0,10/4/2006,160.0,3/12/2012,,,20,0,20,ug/L,1000.0,MCL,0.16,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-4,lead,per_well_all_dates,,,,,6.3,4/12/2018,18,18,0,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-4,manganese,per_well_all_dates,1.3,4/12/2017,88.0,3/12/2012,50.0,4/30/2015,18,12,6,ug/L,50.0,Secondary MCL,1.76,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-4,strontium,per_well_all_dates,760.0,4/12/2018,980.0,9/19/2012,,,18,0,18,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.245,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-4,nitrate_as_n,per_well_all_dates,3.5,6/13/2006,14.0,4/12/2017,,,18,0,18,mg/L,10.0,MCL (health-based),1.4,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-5,arsenic,per_well_all_dates,1.5,4/12/2018,2.9,11/29/2012,5.0,3/12/2012,16,2,14,ug/L,10.0,MCL,0.29,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
