# Part 1: min/max computed from RAW DETECTIONS ONLY (value_type == 'detection'), grouped by (location, analyte), from the SSI Report raw CSV.
location,analyte,min_detected_mgkg,min_sample_id,min_depth_ft,max_detected_mgkg,max_sample_id,max_depth_ft,n_detections_contributing,regulatory_limit_mgkg,limit_type,exceedance_ratio_at_max,extreme_deep_barium_flag,source_document
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,320,CHHSL (industrial),0.0531,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,80,CHHSL (residential),0.2125,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Strontium,27.0,FB7-0.0,0.0,190.0,FB9-4.0,4.0,10,610000,CHHSL (industrial),0.0003,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Strontium,27.0,FB7-0.0,0.0,190.0,FB9-4.0,4.0,10,47000,CHHSL (residential) / USEPA RSL,0.004,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - West End,Barium,97.0,PB2-0.0,0.0,160.0,PB3-0.0,0.0,5,10000,TTLC,0.016,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - West End,Barium,97.0,PB2-0.0,0.0,160.0,PB3-0.0,0.0,5,1000,10x STLC,0.16,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - West End,Barium,97.0,PB2-0.0,0.0,160.0,PB3-0.0,0.0,5,63000,CHHSL (industrial),0.0025,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - West End,Barium,97.0,PB2-0.0,0.0,160.0,PB3-0.0,0.0,5,5200,CHHSL (residential),0.0308,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2,Barium,58.0,CB1-0.0,0.0,130000.0,CB2-11.0,11.0,16,10000,TTLC,13.0,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2,Barium,58.0,CB1-0.0,0.0,130000.0,CB2-11.0,11.0,16,1000,10x STLC,130.0,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2,Barium,58.0,CB1-0.0,0.0,130000.0,CB2-11.0,11.0,16,63000,CHHSL (industrial),2.0635,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2,Barium,58.0,CB1-0.0,0.0,130000.0,CB2-11.0,11.0,16,5200,CHHSL (residential),25.0,"YES - >=50,000 mg/kg deep Cadmium Boring value",S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Arsenic,0.25,FB12-4.0,4.0,1.1,FB10-0.0,0.0,16,500,TTLC,0.0022,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Arsenic,0.25,FB12-4.0,4.0,1.1,FB10-0.0,0.0,16,50,10x STLC,0.022,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Arsenic,0.25,FB12-4.0,4.0,1.1,FB10-0.0,0.0,16,0.24,CHHSL (industrial),4.5833,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Arsenic,0.25,FB12-4.0,4.0,1.1,FB10-0.0,0.0,16,0.07,CHHSL (residential),15.7143,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 2 - NORTH SIDE,Barium,65.0,FB17-4.0,4.0,4300.0,FB11-0.0,0.0,16,10000,TTLC,0.43,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
