location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
BG1,sulfate,mg/L,12,11,1,0.8,10/28/2016,11.0,2/6/2014,,1.0,1/6/2016,250.0,secondary MCL,0.044,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,sulfide,mg/L,15,6,9,0.014,2/28/2014,0.098,1/8/2018,,0.062,10/28/2016,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,thallium,ug/L,15,0,15,,,,,,8.5,3/10/2023,2.0,primary MCL,,,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,total_dissolved_solids,mg/L,11,10,1,15.0,1/6/2016,140.0,3/22/2018,,10.0,12/12/2014,500.0,secondary MCL,0.28,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,total_suspended_solids,mg/L,15,15,0,2.0,3/22/2018,430.0,1/6/2016,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,vanadium,ug/L,15,14,1,1.0,12/4/2019,14.0,3/22/2018,,7.2,10/28/2016,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,zinc,ug/L,15,13,2,8.1,10/28/2016,87.0,3/17/2020,,10.0,12/2/2014,5000.0,secondary MCL,0.017,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,alkalinity_bicarbonate,mg/L,9,9,0,12.0,10/28/2016,72.0,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,alkalinity_carbonate,mg/L,9,0,9,,,,,,5.0,1/30/2014,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG2,alkalinity_total,mg/L,9,9,0,12.0,10/28/2016,72.0,1/30/2014,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
