well,date,is_duplicate,is_dry_or_no_sample,arsenic_ugl,barium_ugl,lead_ugl,manganese_ugl,strontium_ugl,nitrate_mgl,notes
MW-1,6/14/2006,false,false,2.1,130,<1.0,34,---,5.0,
MW-1,10/5/2006,false,false,2.2,120,<1.0,<1.0,---,6.8,
MW-1,3/12/2012,false,false,<5.0,120,<5.0,<50,960,12,
MW-1,3/12/2012 S,true,false,1.6,105,EXCLUDED_LABERR,2.0,1010,11.4,footnote 2 on Pb cell = laboratory error in sample prep; duplicate of 3/12/2012
MW-1,5/17/2012,false,false,2.3,150,<1.0,35,1100,12,
MW-1,7/16/2012,false,false,2.2,130,<1.0,<10,1100,12,
MW-1,9/19/2012,false,false,2.1,120,<1.0,<10,1100,12,
MW-1,11/28/2012,false,false,2.2,140,<1.0,<10,1100,12,
MW-1,1/22/2013,false,false,2.0,110,<1.0,12,1100,12,
MW-1,3/18/2013,false,false,3.3,190,2.2,160,1000,13,
MW-1,6/5/2013,false,false,2.2,110,<1.0,<10,1000,12,
MW-1,9/4/2013,false,false,2.4,130,<1.0,<10,1200,12,
MW-1,12/11/2013,false,false,1.8,120,<1.0,<10,1200,13,
MW-1,2/25/2014,false,false,1.9,110,<1.0,<10,920,10,
MW-1,6/4/2014,false,false,1.1,140,<1.0,<10,1100,15,
MW-1,9/16/2014,false,false,1.3,130,<1.0,<10,1000,18,
MW-1,5/8/2015,false,false,<2.0,150,<1.0,<20,1300,17,"date printed as ""5/8/3015"" in source table - treated as typo for 2015; VERIFY"
MW-1,5/2/2016,false,false,1.6,100,<1.0,26,810,9.2,
MW-1,4/12/2017,false,false,1.9,180,<2.1,71,1200,15,
MW-1,4/12/2018,false,false,1.7,170,<6.3,<1.6,1400,17,
MW-1,4/9/2019,false,false,<4.9,150,<3.6,<32,1200,15,
MW-1,,false,false,,,,,,,well decommissioned per table (no date given for decommission row)
MW-2,6/13/2006,false,false,2.1,87,<1.0,24,---,5.5,
MW-2,10/5/2006,false,false,2.6,84,<1.0,27,---,6.1,
MW-2,3/12/2012,false,false,<5.0,88,<5.0,<50,610,9.0,
