sample_id,area,boring,depth_interval,analyte,value_raw,unit,value_type,is_nondetect,comment,deeper_than_planned,is_resample,source_table,source_page,source_document
S3 10A-0,Stockpile 3 Complete Removal,,,barium,160,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 10A-0,Stockpile 3 Complete Removal,,,lead,3.7,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 11-0,Stockpile 3 Complete Removal,,,barium,"2,200",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 11-0,Stockpile 3 Complete Removal,,,lead,21,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 11A-0,Stockpile 3 Complete Removal,,,barium,220,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 11A-0,Stockpile 3 Complete Removal,,,lead,2.3,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 12-0,Stockpile 3 Complete Removal,,,barium,880,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 12-0,Stockpile 3 Complete Removal,,,lead,3.5,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 13-0,Stockpile 3 Complete Removal,,,barium,92,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 13-0,Stockpile 3 Complete Removal,,,lead,1.6,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 14-0,Stockpile 3 Complete Removal,,,barium,78,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 14-0,Stockpile 3 Complete Removal,,,lead,1.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 15-0,Stockpile 3 Complete Removal,,,barium,140,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 15-0,Stockpile 3 Complete Removal,,,lead,5.0,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 16-0,Stockpile 3 Complete Removal,,,barium,970,mg/kg,raw_detection,,Backfill Over Storm Drain Pipe,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
