medium,source_document,location_or_well,analyte,value_type,value,unit,date_or_event,depth_ft,is_background,n_samples,regulatory_limit,limit_type,exceedance_ratio,source_citation,status,notes
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Cadmium Borings (Stockpiles 2 and 3),barium,min_detected,58.0,mg/kg,2012 SSI,,,1,,,,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Cadmium Borings (Stockpiles 2 and 3),barium,max_detected,130000.0,mg/kg,2012 SSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=25.0; CHHSL (industrial/commercial)=2.063,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,min_detected,42.0,mg/kg,2012 SSI,,,1,,,,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,max_detected,680.0,mg/kg,2012 SSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=0.131; CHHSL (industrial/commercial)=0.011,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Fenceline Borings (all stockpiles, surface)",barium,min_detected,140.0,mg/kg,2012 SSI,,,1,,,,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Fenceline Borings (all stockpiles, surface)",barium,max_detected,4300.0,mg/kg,2012 SSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=0.827; CHHSL (industrial/commercial)=0.068,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Perimeter Borings (all stockpiles, surface 3-ft)",barium,min_detected,76.0,mg/kg,2012 SSI,,,1,,,,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Perimeter Borings (all stockpiles, surface 3-ft)",barium,max_detected,1600.0,mg/kg,2012 SSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=0.308; CHHSL (industrial/commercial)=0.025,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Repo196rt.0614.pdf,Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,min_detected,710.0,mg/kg,2012 SSI,,,1,,,,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,max_detected,1600.0,mg/kg,2012 SSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=0.308; CHHSL (industrial/commercial)=0.025,"FS Report, printed p.16",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3 (Kansas Ave off-ramp embankment),barium,min_detected,34.0,mg/kg,Pre-2012 (Geocon direct-push + hand-auger),,,1,,,,"FS Report, printed p.6",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3 (Kansas Ave off-ramp embankment),barium,max_detected,1600.0,mg/kg,Pre-2012 (Geocon direct-push + hand-auger),,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=0.308; CHHSL (industrial/commercial)=0.025,"FS Report, printed p.6",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Stockpiles (2 of 278 samples, stockpile unspecified)",lead,min_detected,150.0,mg/kg,2006 SI,,,2,,,,"FS Report, printed p.15",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Stockpiles (2 of 278 samples, stockpile unspecified)",lead,max_detected,1500.0,mg/kg,2006 SI,,,2,,,,"FS Report, printed p.15",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles (unspecified),barium,min_detected,25000.0,mg/kg,"2006 SI + 2012 SSI (cumulative, 348 samples)",,,1,,,,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles (unspecified),barium,max_detected,130000.0,mg/kg,"2006 SI + 2012 SSI (cumulative, 348 samples)",,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=25.0; CHHSL (industrial/commercial)=2.063,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 2 and 3 (cadmium-correlated subset),barium,min_detected,25800.0,mg/kg,2004 PSI,,,1,,,,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 2 and 3 (cadmium-correlated subset),barium,max_detected,196000.0,mg/kg,2004 PSI,,,1,CHHSL (residential)=5200; CHHSL (industrial/commercial)=63000,,CHHSL (residential)=37.692; CHHSL (industrial/commercial)=3.111,"FS Report, printed p.17",VERIFIED (computed from raw transcription),
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,barium,MDC,1730.0,mg/kg,2004 PSI,,False,,,,,"FS Report 2.2.1 Shaw 2004 PSI, printed p.13","VERIFIED (reported statistic, quoted as-is)","Barium identified as the only metal detected at elevated concentrations of concern and as the primary COPC in the 2004 PSI (50 borings, 194 stockpile + 49 native soil samples, plus 8 background samples)."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,barium,MDC,60700.0,mg/kg,2004 PSI,,False,,,,,"FS Report 2.2.1 Shaw 2004 PSI, printed p.13","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,barium,MDC,44900.0,mg/kg,2004 PSI,,False,,,,,"FS Report 2.2.1 Shaw 2004 PSI, printed p.13","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Background,barium,background_range,57.0-888.0,mg/kg,2004 PSI,,True,8,,,,"FS Report 2.2.1 Shaw 2004 PSI, printed p.13","VERIFIED (reported statistic, quoted as-is)",8 background soil samples from 4 borings in assumed non-impacted ground.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,ALL_STOCKPILES,nitrate,MDC,310.0,mg/kg,2004 PSI,,False,42 of 54,,,,"FS Report 2.2.1 Shaw 2004 PSI, printed p.14","VERIFIED (reported statistic, quoted as-is)","Nitrate max across combined stockpile/native/background soil samples; explicitly 'not at concentrations of concern.' Included as a single available soil data point even though the pipeline's default is to omit nitrate/manganese soil columns; no other nitrate mg/kg soil figure appears in this document (2006 SI reports only DI-WET *soluble* (leachate) nitrate in mg/L, a different measurement type, deliberately excluded here to avoid unit conflation)."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,ALL_STOCKPILES,strontium,MDC,231.0,mg/kg,2004 PSI,,False,,,,,"FS Report 1.4 Site Characterization, printed p.4","VERIFIED (reported statistic, quoted as-is)","Overall max strontium reported in Shaw 2004 PSI, cited in Section 1.4 explaining why Shaw did NOT designate strontium as a COPC in the 2007 HHRA (231 mg/kg is >2 orders of magnitude below USEPA residential RSL of 47,000 mg/kg; no CHHSL exists for strontium). Not stockpile-specific in the source text."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,barium,MDC,130.0,mg/kg,2006 SI,,False,,,,,"FS Report 2.2.2 Shaw 2006 SI (Total Metals), printed p.14","VERIFIED (reported statistic, quoted as-is)","Barium described as 'the primary COPC.' 2006 SI: 165 stockpile + 89 native soil samples from 51 borings, plus 24 native background samples from 8 background borings."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,barium,MDC,64000.0,mg/kg,2006 SI,,False,,,,,"FS Report 2.2.2 Shaw 2006 SI (Total Metals), printed p.14","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,barium,MDC,72000.0,mg/kg,2006 SI,,False,,,,,"FS Report 2.2.2 Shaw 2006 SI (Total Metals), printed p.14","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Background,barium,background_range,17.0-120.0,mg/kg,2006 SI,,True,,,,,"FS Report 2.2.2 Shaw 2006 SI (Total Metals), printed p.14","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Background (5-ft-deep samples),barium,background_range,47.0-110.0,mg/kg,2012 SSI,,True,,,,,"FS Report 2.2.3 Geocon 2012 SSI - Fenceline Borings, printed p.16","VERIFIED (reported statistic, quoted as-is)","Distinct from the 2004 PSI 8-sample background range (57-888 mg/kg, depths 5/10/15 ft) -- this is the range specifically for 5-ft-deep background samples used to interpret Fenceline Boring depth profiles."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,arsenic,95_UCL,1.63,mg/kg,2007 HHRA (based on 2006 SI data),,False,,,,,"FS Report 3.1.1 Current Offsite Resident and Trespasser, printed p.20","VERIFIED (reported statistic, quoted as-is)",Drove the 2007 HHRA's Stockpile 2 cancer-risk estimate (1.45E-5). Excluded from the final Stockpile 2 risk total because it was statistically indistinguishable from the background arsenic UCL below.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Background,arsenic,95_UCL,1.15,mg/kg,2007 HHRA (based on 2006 SI data),,True,,,,,"FS Report 3.1.1 Current Offsite Resident and Trespasser, printed p.20","VERIFIED (reported statistic, quoted as-is)","Background arsenic 95th UCL; associated cancer-risk estimate (1.15E-5) is very close to the Stockpile 2 arsenic estimate, which is why Shaw excluded arsenic from Stockpile 2's final risk total."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,lead,95_UCL,30.0,mg/kg,2007 HHRA (based on 2006 SI data),,False,,,,,"FS Report 3.1.1 Current Offsite Resident and Trespasser, printed p.20","VERIFIED (reported statistic, quoted as-is)",Used in the LeadSpread model; all percentiles of adults/children projected <10 ug/dL blood lead.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,lead,95_UCL,6.7,mg/kg,2007 HHRA (based on 2006 SI data),,False,,,,,"FS Report 3.1.1 Current Offsite Resident and Trespasser, printed p.20","VERIFIED (reported statistic, quoted as-is)",Used in the LeadSpread model; no unacceptable hazard indicated.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Stockpiles 1-3 combined (future construction soil zone, 0-20 ft)",lead,95_UCL,54.0,mg/kg,2006 SI / 2007 HHRA,,False,,,,,"FS Report 3.1.2 Future Construction Worker, printed p.21","VERIFIED (reported statistic, quoted as-is)",Used in LeadSpread for the pica-child scenario; blood lead projected <10 ug/dL.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles (unspecified),lead,MDC,1500.0,mg/kg,"2006 SI (max, 0-20 ft depth zone)",,False,,,,,"FS Report 3.1.3 Future Offsite Resident, printed p.21","VERIFIED (reported statistic, quoted as-is)","Same 1,500 mg/kg max lead value as the 2006 SI Total Metals section (printed p.15) -- used here to compute a respirable-dust lead concentration of 0.15 ug/m3 in the LeadSpread model, well below the 1.5 ug/m3 default."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,barium,MDC,240.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.1 Stockpile 1 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)","Compared against the 2007 HHRA EPC below; same order of magnitude, no CHHSL/RSL exceedance -> 2007 HHRA findings held valid for Stockpile 1."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,barium,EPC,130.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.1 Stockpile 1 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)",2007 HHRA EPC for Stockpile 1 barium; numerically the same as the 2006 SI Total Metals MDC reported on printed p.14.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,lead,MDC,17.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.1 Stockpile 1 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,lead,EPC,12.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.1 Stockpile 1 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 1,strontium,MDC,61.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.1 Stockpile 1 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)","Strontium was not a 2007 HHRA COPC for Stockpile 1 (only 2012 MDC reported, no EPC comparison)."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,barium,MDC,4300.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.2 Stockpile 2 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,barium,EPC,1100.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.2 Stockpile 2 Current Exposure Assessment, printed p.22","VERIFIED (reported statistic, quoted as-is)","2007 HHRA EPC for Stockpile 2 barium; Stockpile 2's 2007 HHRA COPCs used 95% UCLs (not MDCs) per Section 3.2, so this EPC differs from the raw 2006 SI MDC of 64,000 mg/kg reported on printed p.14 -- it is a separately-computed statistic, not transcribed here beyond what the FS report states."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 2,strontium,MDC,110.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.2 Stockpile 2 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,barium,MDC,1600.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.3 Stockpile 3 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,barium,EPC,250.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.3 Stockpile 3 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,lead,MDC,34.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.3 Stockpile 3 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)","This is the 'lead fenceline/perimeter' figure discussed in Section 3.2.3; the true investigation event is the September 2012 SSI, not the surrounding section's 2006 SI framing."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,lead,EPC,12.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.3 Stockpile 3 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)","2007 HHRA EPC for Stockpile 3 lead, based on 13 surface soil samples from the 2006 SI -- distinct from the Stockpile 1 EPC of 12 mg/kg above (same number, different stockpile/dataset)."
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpile 3,strontium,MDC,100.0,mg/kg,2012 SSI (Fenceline + Perimeter Borings),,False,,,,,"FS Report 3.2.3 Stockpile 3 Current Exposure Assessment, printed p.23","VERIFIED (reported statistic, quoted as-is)",'Detected in all but one of the 2012 surface soil samples.'
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 1-3 combined,barium,MDC,130000.0,mg/kg,2012 SSI (Fenceline + Cadmium Borings),,False,,,,,"FS Report 3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident, printed p.23","VERIFIED (reported statistic, quoted as-is)",
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 1-3 combined,barium,EPC,72000.0,mg/kg,2006 SI (2007 HHRA EPC),,False,,,,,"FS Report 3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident, printed p.24","VERIFIED (reported statistic, quoted as-is)",Based on 165 soil samples from the 2006 SI.
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 1-3 combined,barium,95_UCL,7556.0,mg/kg,2012 SSI,,False,,,,,"FS Report 3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident, printed p.24","VERIFIED (reported statistic, quoted as-is)","Calculated 95% UCL for the 2012 barium data; explicitly reported as 'significantly less than the MDC of 130,000 mg/kg and the EPC of 72,000 mg/kg.'"
soil,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Stockpiles 1-3 combined,strontium,MDC,270.0,mg/kg,2012 SSI,,False,,,,,"FS Report 3.2.4 Stockpiles 1-3 Future Construction Worker/Offsite Resident, printed p.24","VERIFIED (reported statistic, quoted as-is)",'Detected in all but one of the 2012 soil samples.'
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Barium,MDC_reported,240.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.4 (report p.3): '...barium (240 vs. 130 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings...compared to the HHRA EPCs'"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Lead,MDC_reported,17.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.4 (report p.3): 'lead (17 vs. 12 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Strontium,MDC_reported,61.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.4 (report p.4): 'Strontium was detected in each 2012 surface soil sample with a MDC of 61 mg/kg' (Stockpile 1)"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 2 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Barium,MDC_reported,4300.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.5 (report p.4): 'barium (4,300 vs. 1,100 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 2 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Strontium,MDC_reported,110.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.5 (report p.4): 'Strontium was detected in each of the 2012 surface soil samples, with an MDC of 110 mg/kg' (Stockpile 2)"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Barium,MDC_reported,1600.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.5 (report p.4): 'barium (1,600 vs. 250 mg/kg)...higher levels in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Lead,MDC_reported,34.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.5 (report p.4): 'lead (34 vs. 12 mg/kg)...higher levels in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",Strontium,MDC_reported,100.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-1,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.5 (report p.5): 'Strontium was detected in all but one of the 2012 surface soil samples with a MDC of 100 mg/kg' (Stockpile 3)"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",Barium,MDC_reported,130000.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-20,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.6 (report p.5): 'barium (130,000 vs. 72,000 mg/kg)...detected at higher concentrations in the soil samples obtained from the September 2012 Fenceline Borings and Cadmium Borings...compared to the HHRA EPC'. This is the ~130,000 mg/kg value from SSI Report Table 3, sample CB2-11.0, Stockpile 2, 11 ft bgs (see SSI raw.csv) -- attributed here in the HHRA UPDATE narrative to 'Fenceline Borings and Cadmium Borings' collectively, without naming the specific boring."
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",Barium,95_UCL_reported,7556.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-20,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.6 (report p.5): 'The calculated 95% UCL for the 2012 barium data is 7,556 mg/kg, significantly less than the MDC of 130,000 mg/kg and the EPC of 72,000 mg/kg used in the HHRA.' -- This is the document that states the 7,556 mg/kg 95% UCL figure; it is NOT stated in the SSI Report itself."
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",Strontium,MDC_reported,270.0,mg/kg,"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)",0-20,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE narrative, PDF p.6 (report p.5): 'Strontium was detected in all but one of the 2012 soil samples with an MDC of 270 mg/kg' (Stockpiles 1-3 combined, 0-20 ft bgs)"
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft bgs)",Arsenic,detection_min_reported,0.6,mg/kg,2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=SR99/132-N02; HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft bgs)",Arsenic,MDC,1.1,mg/kg,2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=multiple; HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 4.1 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data). Arsenic NOT selected as COPC (max detected <= max background); no EPC assigned."
soil,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"Stockpile 1 (surface soil, 0-1ft bgs)",Barium,detection_min_reported,50.0,mg/kg,2006 Shaw site investigation (reproduced in HHRA UPDATE Table 2 (SP#1 surface soil COPC selection)),,False,,,,,HHRA UPDATE,"VERIFIED (reported statistic, quoted as-is)","sample_id=SR99/132-N02; HHRA UPDATE, Appendix B (2007 Shaw HHRA), Table 2 (SP#1 surface soil COPC selection), PDF p.73. Frequency of detection 5/5 (100%). Max background concentration 120 mg/kg. Reported as MDC unless noted. 2006 Shaw investigation data (NOT 2012 SSI data)."
